description,0,1,2,3,4,5,6,7,8,9
0. Résistance historique indigène contre envahisseurs étrangers,léon,celtique,breton,évêques,jetèrent,classique,bretagne,consommée,avan,bretons
"22. Authenticité locale, originalité artistique, éducative.",occidental,académie,écriture,naturel,prochainement,publie,suivant,améliorée,adapté,ordre
"67. Contexte géographique, historique, culturel, mythologique distinct",victoria,nil,chutes,lune,fumée,centrale,signifie,zambèze,fleuve,slaves
"71. Contexte colonial, interactions et domination des indigènes.",relations,indigènes,mission,confiance,hostilité,expédition,rapports,intentions,missionnaires,stanley
"128. Contexte colonial, perception condescendante des indigènes.",indigènes,instruire,instances,confiance,ngu,faut,ignorance,expropriation,protester,madagascar
"135. Langue indigène, authenticité littéraire, originalité",cos,style,approche,froid,langue,éveiller,104,ailes,corruption,accent
160. Indigènes musulmans dans contexte administratif français,musulmans,musulman,musul,mans,naturalisation,loi,algérie,naturalisés,musulmane,israélites
177. Impôt indigène dans contexte fiscal colonial,impôt,impôts,recettes,perception,rôles,capitation,perçu,contributions,prévisions,taxes
179. Propriété et activités économiques coloniales des indigènes,indigènes,consentis,montés,occupés,appartenant,confier,recueilli,montées,pirogue,terrains
182. Indigènes décrits géographiquement et culturellement spécifiques.,hébrides,nouvelle,calédonie,irlande,vivent,hollande,distinguent,forment,rouges,iroquois
"207. Références administratives aux ""Affaires indigènes""",affaires,bureau,inspecteur,secrétariat,contrôleur,service,administrateur,arts,voyager,administrateurs
"215. Contexte colonial, domination, relations de pouvoir.",lès,odieux,envoyée,dépouiller,manoeuvres,réclamé,1859,spoliation,distribués,wagons
248. Contexte militaire colonial Asie du Sud-Est indigènes,trafiquants,élan,éloignement,tirailleurs,avantageux,cam,auxiliaires,zouaves,goum,entraînés
251. Interactions coloniales transformant structures locales.,arrêtée,innombrables,trancher,souveraine,aristocratie,tution,déci,fiscales,ita,augmentant
254. Industries artisanales traditionnelles locales.,industries,industrie,tissage,vannerie,poteries,tapis,cuir,poterie,soie,métiers
"278. Plantes natives, terminologie scientifique, descriptions détaillées",fleurs,orchidées,feuilles,arbuste,plante,plants,arbrisseau,vivace,vignes,roses
310. Transformation culturelle et politique sous colonisation,populations,étendait,peuplades,principautés,protectorats,cho,culti,leurs,supprimer,lations
"323. Références Humboldt, peuples indigènes Amérique, monuments.",peuples,vues,analyse,monuments,amérique,atlas,in,lières,traditions,religieuses
342. Indigènes intégrés dans structures coloniales militaires/administratives,milices,réservistes,auxiliaires,tionnaires,notables,médecins,postes,moniteurs,fonc,coolies
361. Interactions historiques indigènes en Afrique coloniale.,soudan,tombouctou,sahara,indigènes,afrique,révoltes,djibouti,nil,niger,arabes
"362. Contexte administratif colonial, terres et traités indigènes.",affaires,coolies,traités,autorités,conventions,collectivités,réserves,tribus,unis,administrateurs
"366. Contexte colonial français, pouvoir et statut légal.",obéissance,russes,escales,blida,palabres,relations,tranquillité,contact,émissaires,postes
"373. Plantes locales, agriculture, produits dérivés.",cultivés,dite,huile,obtenir,usent,fécule,croissent,pavot,nord,france
"382. Traduction légale arabe pour indigènes, contexte colonial.",nullité,traduction,faite,arabe,interprète,actes,sousse,adressés,requête,langue
406. Bois local utilisé en artisanat luxueux.,frêne,meubles,exposition,bois,présenté,noyer,fabriquer,voyons,acajou,terie
421. Propriété foncière et agriculture des indigènes,métayers,redevances,bâtons,vassaux,terres,cultiver,treize,couvrir,planter,fruitiers
"433. Contexte historique-culturel, traditions, influences externes.",grèce,papous,héros,excursion,polynésiens,retrouvé,leurs,vé,carthaginois,ancêtres
458. Tirailleurs indigènes dans contexte militaire colonial,tirailleurs,bataillon,spahis,tirailleur,zouaves,bataillons,régiment,emporter,régiments,habituel
463. Composition juridique indigènes et étrangers,juges,assesseurs,trois,étrangers,deux,quatre,composée,alexandrie,onze,président
474. Statut administratif « au titre indigène »,titre,conseillers,servant,municipaux,statut,grade,officiers,élus,troupe,indigène
477. Relations légales formelles entre indigènes,débiteur,consentement,alinéa,qualifiés,contrats,saisie,entre,passés,obligations,cession
"533. Espèce végétale native, contexte botanique comparatif.",espèce,espèces,seule,fleurs,tempérées,genre,indigène,genres,plante,planche
546. Origine géographique des plantes ou espèces végétales.,pérou,plante,parasite,arbuste,cultivée,brésil,europe,chili,croît,chine
551. Comparaison entre éléments locaux et étrangers.,étrangères,offerts,monnaies,étrangère,municipalité,diviser,couteau,chargement,turc,grains
"577. Plantes indigènes, contexte botanique spécifique.",cultivés,croît,feuillage,plante,vivace,vert,diable,arbuste,fleurs,agréable
"599. Contexte militaire, tirailleurs indigènes, documents historiques.",déc,avril,chevalier,jacques,françois,charles,er,capitaine,escadron,léon
